TEXT,Classified 1,Classified 2
"@fishin4bogey @Cairill1 @erobbins @thesarahkelly @chrislhayes Masks only work if everyone wears them. Not everyone is wearing them. In LA, 83% of restaurants that were checked were non-compliant after reopening.",pro,pro
@jpmoney1999 Would be kinda moved by this if the sole reason for him wearing a mask didnâ€™t originate from a thug saying â€œI saw your face!â€,unrelated,neutral
@cook17 Shame really because if you were going to have someone rally people to wear masks he would have been perfect.,pro,neutral
"@Evysdove @CAgovernor Do you feel pain all the time? No, I bet it doesnâ€™t even hurt you to be this stupid.   100 years ago people who barely went to high school were smart enough to wear masks and stopped the Spanish Flu. What about you prevents learnin",pro,pro
@DiamondandSilk Well they are saying the same as today. Wear the mask to protect others from you in case you have the virus but are not showing symptoms. And stay 6 feet away to add further protection. It is all statistics and caring about your fellow hum,pro,pro
" @skb_sara @senatemajldr I figure if people in the medical field wear them all day (and have for years) weâ€™ll all be fine too. I think weâ€™re going to be wearing masks for a few more months at I7pleast. Of course, this could have been over b",pro,pro
"@K_Iragana_A I hate my mask its stupid hot here without a mask like. But I wear it. Best thing to do. I see some people won't wear one as its a political issue. "" let's them Dems win""",pro,pro
"Iâ€™ve been back to work for a little over a month and now I may have to go back into quarantine. This country has completely wasted whatever â€œprogressâ€ we made these last few months over COVID. Stop being so self centered, wear a mask, and take this shit seriously.",pro,pro
@gwenedavies @JoAnn049 @SenSherrodBrown FYI Healthy people wearing masks can also cause hypoxia and hypercapnia.,against,against
"Hey friends, if your ears hurt from being responsible and wearing a mask in public.  If you got 2 paper clips and a rubber band, you got a mask extender.  It's made my day to day a lot easier.  Also you can buy a mask extender if you can find it, but yeah.",pro,pro
really donâ€™t understand why staying home and quarantining is a debate? like do yâ€™all want this shit to last forever? do you want to constantly wear masks? like why is having fun and going to the beach more important than your health? I truly donâ€™t get it lol. SHUT DOWN SAN DIEGO,pro,pro
"#WeHo: Anyone not wearing a face cover or mask in public in West Hollywood will be subject to a $300 citation from sheriff's deputies, the sheriff's West Hollywood Station announced Wednesday night.",pro,pro
@marcorubio NOW you advocate wearing a mask? Where were you 4 months ago like the rest of us?,pro,pro
@GavinNewsom @kierstea1 Thank you for trying to do the right thing...too bad we have so many stupid self entitled Republicans who think their too damn good to wear masks,pro,pro
"@ShellyMBoulder @linseymarr Thanks!  And unlike masks, reusable many times, so I can actually buy decent safety glasses/goggles or face shields or whatever.  Seems like goggles &gt; glasses &gt; face shields but not sure.  Face shield easier to wear for l",against,neutral
"@KikoG77841813 @skb_sara @senatemajldr Weâ€™re free but there are consequences fothings that hurt other people. Youâ€™re free to rob someoneâ€™s house or to not wear a seatbelt, but there are consequences. Itâ€™s a public contract we all agree to.  Wearin",pro,pro
@JohnCornyn Not one of you idiots is wearing a mask,pro,pro
"@RyanPhillippe I see 20 people a day, I  wear a mask and so do they. I wear gloves too, have to touch them.  Iâ€™m still healthy! It works!!!",pro,pro
I love wearing my #Mask in the store. I spend way less money âœ… I usually get the speedy checkout with less items âœ… the staff is somehow MORE helpful in helping you hurry up and leave ðŸ˜,pro,pro
"@BillyCorben @MiamiDadePD @iflymia So when itâ€™s a white lady not wearing a mask and challenging authority we laugh and sneer and hope for the worst, but when itâ€™s a black lady, sheâ€™s a victim on a pedestal of virtue? Am I up to speed on the hypocris",pro,pro
"@JCMounduix @GavinNewsom Let's be real, the type of people that participated in protests are usually the type of people to wear masks &amp; distance themselves, look at pictures. The type of people to go to beach on 4th of July are the type of people who ",pro,pro
